id,ticket_type,feature,title,description,root_cause,resolution,review_comment,status,created_at
1,故障管理,ログイン機能,パスワードリセットメールが送信されない,パスワードリセット申請後にメールが届かない事象が発生。一部ユーザーで再現。,SMTPサーバーの接続タイムアウト設定が短すぎたため、大量送信時にキューが詰まっていた。,smtp_timeout を30秒→120秒に変更し、再送キューの上限を拡張。,接続タイムアウトの設定値は環境依存のため、設定ファイルに外出しすること,解決済み,2025-10-03
2,故障管理,ログイン機能,セッション切れが頻発する,30分以上操作がないとセッションが切れてしまう。設定値は60分のはず。,セッションストアのGC間隔がセッション有効期限より短く設定されていた。,GC間隔をセッション有効期限の2倍（120分）に修正。,セッション管理系の設定変更はQAでの確認項目をチェックリスト化すること,解決済み,2025-10-07
3,故障管理,検索機能,検索結果に削除済みレコードが表示される,削除フラグを立てたレコードが全文検索結果に残り続ける。,Elasticsearchのインデックス更新が非同期のため、削除後も一定時間ヒットしていた。,削除時に即時インデックス削除APIを呼び出す処理を追加。,非同期インデックス更新の遅延を考慮したテストケースを追加すること,解決済み,2025-10-12
4,故障管理,ファイルアップロード,大容量ファイルのアップロードが途中で失敗する,100MB以上のファイルをアップロードすると50%前後で失敗する。,Nginxのclient_max_body_sizeが50MBに設定されており、上限を超えていた。,Nginx設定を200MBに変更し、アプリ側のバリデーションと一致させた。,インフラ設定とアプリ設定の上限値を一元管理する仕組みを検討すること,解決済み,2025-10-15
5,故障管理,通知機能,プッシュ通知が重複して送信される,同じイベントに対してプッシュ通知が2〜3回届くことがある。,通知送信処理が冪等でなく、リトライ時に重複実行されていた。,通知テーブルに送信済みフラグを追加し、リトライ前に確認する処理を実装。,外部サービス連携の冪等性は設計レビューで必ず確認すること,解決済み,2025-10-18
6,故障管理,帳票出力,PDFエクスポートでフォントが文字化けする,日本語を含むPDFをエクスポートすると一部文字が豆腐（□）になる。,フォント埋め込み設定が英語フォントのみ対応しており、日本語フォントが欠落していた。,IPA明朝フォントをサーバーにインストールし、PDF生成設定に追加。,多言語対応が必要な場合は初期設定段階でフォント要件を確認すること,解決済み,2025-11-02
7,故障管理,帳票出力,大量データのCSVエクスポートでタイムアウトが発生,5万件以上のデータをCSVエクスポートすると30秒でタイムアウトになる。,同期処理でCSVを生成していたため、Webサーバーのタイムアウトに引っかかっていた。,バックグラウンドジョブ化してメール通知でダウンロードリンクを提供する形式に変更。,大量データ処理は非同期化を前提に設計すること,解決済み,2025-11-05
8,故障管理,在庫管理,在庫数がマイナスになる,同時発注時に在庫数が負になるケースが発生。,在庫更新処理で楽観的ロックが実装されていたが、リトライ処理がなく、競合時にそのまま更新されていた。,ペシミスティックロック（SELECT FOR UPDATE）に変更し、同時更新を排除。,在庫・残高等の数値管理機能はロック戦略を設計書に明記すること,解決済み,2025-11-10
9,故障管理,ユーザー管理,管理者が別ユーザーのデータを誤って閲覧できる,権限チェックの不備により、管理者ロールで他ユーザーの非公開データが見えていた。,テナントIDのチェックを権限チェックとは別に実装する必要があったが、漏れていた。,全データ取得クエリにテナントIDフィルタを追加し、レビューチェックリストを更新。,テナント分離の確認はセキュリティレビューの必須項目として追加すること,解決済み,2025-11-14
10,故障管理,決済機能,二重課金が発生するケースがある,ネットワークエラー後のリトライで同一の課金が2回実行される事象が確認された。,決済APIへのリクエストに冪等キーを付与していなかった。,リクエストヘッダーにIdempotency-Keyを追加し、決済プロバイダー側での重複排除を活用。,外部決済APIの冪等性保証は仕様確認と実装の両面でレビューすること,解決済み,2025-11-20
